City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,port saint john's,-31.6229,29.5448,15.01,62,84,3.31,ZA,1686627900
342,south venice,27.0531,-82.4243,28.88,86,0,2.06,US,1686628117
343,kyongwon,42.8136,130.1528,25.46,54,57,0.3,KP,1686628117
344,hede,33.7681,120.2517,29.67,33,100,1.56,CN,1686628012
345,fort bragg,35.139,-79.006,22.08,92,40,0.0,US,1686627973
346,aswan,24.0934,32.907,29.61,23,0,0.0,EG,1686628117
347,jacmel,18.2342,-72.5347,28.91,85,7,1.11,HT,1686628117
348,tinajo,29.0788,-13.7081,21.49,78,40,4.63,ES,1686628117
349,hoemul-li,41.4339,129.67,19.03,78,74,2.9,KP,1686628117
350,doctor mora,21.1417,-100.3125,19.14,45,2,2.49,MX,1686628117
351,mili,6.0815,171.735,28.17,80,100,7.57,MH,1686628008
352,numan,9.4667,12.0333,25.47,77,100,3.49,NG,1686628118
353,kasongo-lunda,-6.4667,16.8167,20.29,95,71,0.66,CD,1686628118
354,kota belud,6.351,116.4305,31.86,61,61,2.95,MY,1686628118
355,tra mhor,52.1624,-7.1524,17.27,95,82,2.68,IE,1686628118
356,laojunmiao,39.8333,97.7333,26.65,14,0,9.17,CN,1686628000
357,mahina,-17.5065,-149.489,27.87,65,40,1.03,PF,1686628118
358,sarangani,5.4033,125.4636,29.25,68,29,3.87,PH,1686628004
359,i-n-salah,27.1935,2.4607,32.48,10,0,4.2,DZ,1686628118
360,troitsk,54.0979,61.5773,10.01,49,84,1.79,RU,1686628119
361,sinabang,2.4803,96.3801,29.89,66,25,1.44,ID,1686627993
362,levuka,50.1834,-105.4011,20.84,31,59,2.22,CA,1686627997
